File, O0,O1,O2,O3,optimized,optimized.O1,optimized.O2,optimized.O3
test.c, .001742,.001102,.000995,.001020,.000991,.000936,.000926,.000902
./TestData/test.c,.001681,.000956,.000954,.000911,.000921,.000956,.000828,.000806
TestData/andre10.c,.001455,.001573,.000953,.000747,.000868,.000907,.000858,.000894
TestData/andre11.c,.006339,.001839,.001888,.001852,.006056,.006396,.006441,.006391
TestData/andre12.c,.002601,.001247,.001133,.001012,.001779,.001583,.001568,.001694
TestData/andre14.c,.006125,.002107,.002128,.002011,.005957,.006706,.006738,.006789
TestData/andre1.c,.001138,.000948,.000661,.000677,.000790,.000876,.000912,.000886
TestData/andre2.c,.001415,.001437,.000878,.000828,.000913,.000752,.000709,.000861
TestData/andre3.c,.001608,.001223,.000890,.000892,.000822,.000756,.000742,.000737
TestData/andre4.c,.001236,.001032,.001208,.000754,.000885,.000838,.000841,.000894
TestData/andre5.c,.001696,.001091,.001080,.001071,.001038,.001028,.001045,.000911
TestData/andre6.c,.001437,.001382,.000911,.000901,.000852,.000823,.000729,.000674
TestData/andre7.c,.001574,.000991,.000935,.000907,.000899,.000895,.000907,.000917
TestData/andre8.c,.002056,.001573,.001516,.001574,.001574,.001529,.001132,.001265
TestData/andre9.c,.001132,.001163,.000925,.000924,.000836,.000765,.000841,.000819
TestData/omkar_char_frequency.c,.001427,.001074,.000945,.000926,.000888,.000918,.000915,.000951
TestData/omkar_duplicate_characters.c,.001261,.001524,.000964,.000912,.000924,.000926,.000942,.000895
TestData/omkar_example_file10.c,.001534,.001237,.000891,.000908,.000960,.000965,.000927,.000922
TestData/omkar_example_file1.c,.001134,.001104,.000895,.000887,.000773,.000740,.000815,.000673
TestData/omkar_example_file2.c,.001178,.001220,.000727,.000725,.000756,.000898,.000876,.000854
TestData/omkar_example_file3.c,.001523,.001500,.000889,.000854,.000881,.000855,.000892,.000846
TestData/omkar_example_file4.c,.001607,.001189,.000897,.000740,.000778,.000727,.000679,.000702
TestData/omkar_example_file5.c,.001228,.001487,.000869,.000888,.000870,.000844,.000881,.000868
TestData/omkar_example_file6.c,.001098,.001149,.000792,.000687,.000758,.000907,.000876,.000782
