File, O0,O1,O2,O3,optimized,optimized.O1,optimized.O2,optimized.O3
Complete/andre10.c,.001379,.000866,.000904,.000927,.000931,.000945,.000807,.000727
Complete/andre11.c,.006126,.001881,.001893,.001920,.005531,.006315,.006160,.006276
Complete/andre12.c,.002376,.001208,.001187,.001164,.001880,.001709,.001729,.001753
Complete/andre14.c,.006264,.002144,.002158,.002170,.006046,.006235,.005766,.005751
Complete/andre1.c,.001332,.000923,.000924,.000922,.000884,.000946,.000906,.000940
Complete/andre2.c,.001447,.000975,.001291,.000893,.000900,.000876,.000884,.000844
Complete/andre3.c,.001145,.001069,.001067,.000901,.000924,.000955,.000917,.000950
Complete/andre4.c,.001384,.001315,.001180,.000929,.000757,.000772,.000936,.000920
Complete/andre5.c,.001559,.001057,.001230,.001075,.001117,.001087,.001068,.001119
Complete/andre6.c,.001388,.001086,.000709,.000688,.000859,.000940,.000931,.000921
Complete/andre7.c,.001153,.001069,.001011,.000751,.000928,.000852,.000804,.000928
Complete/andre8.c,.001929,.001813,.001561,.001634,.001609,.001619,.001627,.001565
Complete/andre9.c,.001151,.000848,.001056,.000999,.000936,.000851,.000893,.000928
Complete/omkar_char_frequency.c,.001368,.001062,.000809,.000897,.000911,.000925,.000923,.000942
Complete/omkar_duplicate_characters.c,.001427,.001106,.000695,.000867,.000897,.000935,.000931,.000929
Complete/omkar_example_file10.c,.001183,.001092,.000908,.000767,.000970,.000882,.000908,.000919
Complete/omkar_example_file1.c,.001413,.001184,.000794,.000941,.000915,.000940,.000879,.000901
Complete/omkar_example_file2.c,.001411,.001286,.000893,.000932,.000965,.000928,.000914,.000952
Complete/omkar_example_file3.c,.001262,.001055,.000847,.000931,.000905,.000921,.000904,.000906
Complete/omkar_example_file4.c,.001147,.001005,.001009,.000665,.000877,.000927,.000955,.000952
Complete/omkar_example_file5.c,.001001,.001236,.000930,.000950,.000904,.000913,.000915,.000919
Complete/omkar_example_file6.c,.001382,.000969,.000897,.000894,.000903,.000922,.000892,.000882
Complete/omkar_example_file7.c,.001437,.001155,.000922,.000926,.000949,.000916,.000924,.000926
Complete/omkar_example_file8.c,.001328,.001349,.000945,.000900,.000872,.000893,.000888,.000909
Complete/omkar_example_file9.c,.001381,.001181,.000881,.000893,.000868,.000853,.000826,.000785
Complete/omkar_insert_characters.c,.001439,.000992,.000806,.000711,.000940,.000912,.000850,.000809
Complete/omkar_merge_strings.c,.001401,.001282,.000838,.000883,.000927,.000928,.000877,.000876
Complete/omkar_remove_duplicates.c,.001392,.001204,.000771,.000923,.000946,.000761,.000822,.000941
Complete/omkar_remove_vowels.c,.001326,.001118,.000888,.000917,.000925,.000898,.000919,.000920
Complete/omkar_remove_whitespace.c,.001411,.000894,.000893,.000986,.000919,.000893,.000935,.000964
Complete/omkar_replace_characters.c,.001474,.000973,.001302,.000935,.000941,.000936,.000933,.000878
Complete/omkar_substring_search.c,.001366,.001052,.000928,.000928,.000935,.000885,.000891,.000874
Complete/omkar_swap_case.c,.001350,.000893,.000753,.000742,.000786,.000885,.000904,.000900
